Date;SPY;MSFT;F;INTC;GE;CM
2017-07-03;242.545006;68.75;11.46;33.4849985;27.3050005;81.4850005
2017-07-05;242.7000045;68.670002;11.405;33.93;27.4450005;81.8100015
2017-07-06;241.220001;68.4199985;11.235;33.875;26.585;81.9950025
2017-07-07;241.660004;69.079998;11.235;33.790001;26.2;82.345001
2017-07-10;242.239998;69.720001;11.29;33.450001;26.085;82.285
2017-07-11;242.2799985;69.994999;11.345;33.7799985;26.205;82.375
2017-07-12;243.654999;70.920002;11.44;34.2649995;26.5600005;83.4750025
2017-07-13;244.220001;71.6349985;11.53;34.285002;26.6850005;84.664997
2017-07-14;244.989998;72.5099985;11.665;34.58;26.7600005;85.1450005
2017-07-17;245.5;73.0750005;11.725;34.6050015;26.79;85.255001
2017-07-18;245.360001;73.1949995;11.735;34.4799995;26.8249995;85.404999
2017-07-19;246.5050045;73.6800005;11.795;34.6200005;26.8950005;86.0950015
2017-07-20;247.1900025;74.2000005;11.695;34.6450005;26.8550005;86.7299995
2017-07-21;246.6600035;73.619999;11.56;34.6350005;25.6449995;86.450001
2017-07-24;246.805;73.5649985;11.4;34.615;25.6050005;86.300003
2017-07-25;247.5499955;73.9950025;11.285;34.6099985;25.5050005;86.3650015
2017-07-26;247.5899965;74.1949995;11.1;34.7250005;25.59;86.055
2017-07-27;247.580002;73.460003;11.13;34.875;25.6900005;85.8300015
2017-07-28;246.779999;72.8549995;11.16;35.220001;25.695001;86.255001
2017-07-31;247.0699995;73;11.19;35.470001;25.575001;86.7299995
2017-08-01;247.390007;72.84;11.03;36.004999;25.535;86.670002
2017-08-02;247.4550015;72.4050025;10.99;36.4850005;25.4800005;86.204998
2017-08-03;247.1350025;72.170002;10.97;36.5200005;25.675;86.074997
2017-08-04;247.465004;72.540001;10.925;36.375;25.7650005;86.015003
2017-08-07;247.68;72.6000025;10.93;36.4099995;25.6849995;85.845001
2017-08-08;247.384995;72.4399985;10.92;36.3899995;25.594999;86.044998
2017-08-09;246.8600005;72.3600005;10.9;36.4349995;25.629999;85.509998
2017-08-10;245.024994;71.655003;10.825;36.2700005;25.504999;84.5949975
2017-08-11;244.0699995;72.0550005;10.78;36.0649985;25.3000005;84.110001
2017-08-14;246.0649945;73.324997;10.865;36.2299995;25.320001;84.6549985
2017-08-15;246.7449955;73.4049985;10.88;36.1499995;25.174999;84.539997
2017-08-16;247.0250015;73.494999;10.83;35.8950005;25.1100005;84.700001
2017-08-17;244.6650005;72.990002;10.715;35.384998;24.91;84.384998
2017-08-18;242.8050005;72.3799975;10.59;35.1499995;24.589999;84.7649995
2017-08-21;242.7699965;72.3100015;10.55;35.004999;24.49;84.990002
2017-08-22;244.5050045;72.755001;10.63;34.835001;24.585;84.994999
2017-08-23;244.445;72.84;10.66;34.6000005;24.4549995;85.164997
2017-08-24;244.4950025;72.715;10.73;34.705;24.3649995;85.5750005
2017-08-25;244.729996;72.8400005;10.795;34.744999;24.4399995;84.7799985
2017-08-28;244.8700025;72.945;10.825;34.7150005;24.5;84.7299995
2017-08-29;243.955002;72.6500015;10.795;34.619999;24.3850005;83.805
2017-08-30;245.4199985;73.510002;10.88;34.8199995;24.3850005;83.3649975
2017-08-31;247.105003;74.399998;11;35.0049995;24.4799995;83.9500005
2017-09-01;247.879997;74.3250005;11.265;35.165001;24.8699995;84.6049995
2017-09-05;246.6599965;73.4749985;11.36;35.02;24.9049995;84.299999
2017-09-06;246.869995;73.57;11.445;35.4899995;24.9049995;85.334999
2017-09-07;247.0599975;74.009998;11.46;35.710001;24.265;86.3499985
2017-09-08;246.5599975;74.1550025;11.35;35.3049985;23.8850005;86.5700035
2017-09-11;248.625;74.535;11.405;35.630001;23.759999;87.255001
